"name","ID","link","recommend","liked","disliked","experience","comment"
"Планшет HUAWEI MediaPad T5 10 2/32GB LTE Black","827321971c03f85584f0165d7c4a094c","https://hotline.ua/ua/computer-planshety/huawei-mediapad-t5-10-232gb-lte-black/","рекомендує цей товар","Пользуюсь несколько лет, полёт нормальный, все функции отрабатывает с головой, можно было мощнее батарею","Все таки есть модель где 3гб оперативы и надо было брать её","рік і більше","Все очень нравится, вот купил экран на замену, так как увы уронил и разбил старый и рамку тоже, уже клей засыхает и спешу скорее включить и пользоваться опять)) В следующий раз планшет только Huawei"
"Планшет HUAWEI MatePad 11 Wi-Fi 6/128GB Matte Gray (53012FCW)","7e7511eceb63f42a721aa15f761ae0b6","https://hotline.ua/ua/computer-planshety/huawei-matepad-11-wi-fi-6128gb-matte-gray-53012fcw/","рекомендує цей товар","Экран. Звук. Довольно лёгкий, как на его размер. Хорошо держит батарея","Нет поддержки драйверов для HDR, нет нормальной синхронизации с Гугл. Слабый выбор аксессуаров. Люфт кнопок. Huawei Pay не работает в нашей стране. В комплекте не было переходника под аудио-разъём","кілька днів","Во-первых, про саму железку. Довольно лёгкий. Поля узкие, но не настолько, чтобы неудобно держать. Камера сверху в центре, потому наверное, поворот экрана только на 90 градусов, это довольно непривычно. Физических кнопки всего две - включения и качелька громкости. На ощупь они тонковаты и немного люфтят, есть опасение за долговечность. 
Задняя крышка унылого серого цвета, выбора нет. Это обидно, с учётом того, что на рынке единственный родной чехол, который её толком не закрывает, так как использует магнитную застежку. 
Экран очень контрастный с приличным запасом яркости. Кино смотреть одно удовольствие. Но из-за своего софта, например, в Нетфликс не поддерживает видео 4к и функции HDR, это может быть важно при выборе. 
Работает очень шустро и плавно. Стоит куча своего софта, который переведён на украинский частично. Если у вас много игр, которые вы оплатили уже на Андроид, не говоря про IOS - работать все это без ухищрений не будет, так как формально это другая ось, Harmony OS со своим магазином приложений. Есть какие-то костыли, типа онлайн приложений YouTube/YouTube Music - так что ваш премиум аккаунт работать будет, но не в фоновом режиме, как это положено. 
Перенести контакты, календарь и фото/видео даже с айфона очень легко - есть соответствующая апликуха, но вот потом просто синхронизировать конечно не получится (если, например, айфон оставить как телефон). Кто привык к iPad - очень похож интерфейс, плюс внешняя карта. 
Звук отличный, мощный, кино смотреть очень приятно. Батарея порадовала, обзоры не врут, падение 10-20% в час, и в спящем режиме сильно не жрёт (но на ночь я все же выключал бы). 
Камера. Свои функции выполняет, но ничего выдающегося. 
Если не пугает Harmony OS, а многие, кстати, не любят делиться информации с Гугл, но будете с китайцами :) Также нет в нашей стране платёжной системы Huawei Pay, кто привык одной кнопкой рассчитываться на планшете - досада."
"Планшет HUAWEI MatePad 11 Wi-Fi 6/128GB Matte Gray (53012FCW)","7e7511eceb63f42a721aa15f761ae0b6","https://hotline.ua/ua/computer-planshety/huawei-matepad-11-wi-fi-6128gb-matte-gray-53012fcw/","рекомендує цей товар","Качественный звук и экран. Можно вставить стандартную SD карту. Хорошо собран и пластик не дешёвый. Тот же андройд (и все тестовые проги определяют как андроид 10), но в другой упаковке. Неплохие, как для планшета, камеры. Развёртка 120Гц","Отсутствие гугл сервисов всё-таки накладывает свой отпечаток:.- нет голосового поиска;.- платные проги нужно купить ещё раз в app gallery;.- есть мелкие недоработки как автояркость и ползунок громкости","кілька днів","В целом производит положительное впечатление."
"Планшет HUAWEI MediaPad T3 10 16GB LTE Grey (53010NSX, 53018522)","18a338fd6fa6bfedc829c36fc26aa61b","https://hotline.ua/ua/computer-planshety/huawei-mediapad-t3-96-lte-16gb-grey/","рекомендує цей товар","известный бренд, металлический корпус, невысокая цена, хорошее качество, может совершать звонки","мало памяти для установки приложений","рік і більше","Относительно дешевый 10 дюймовый планшет бюджетного уровня от известного бренда. Дисплей на базе IPS матрицы с HD разрешениеи и удовлетворительными углами обзора, имеет плохое олеофобное покрытие. Планшет построен на базе процессора Snapdragon 425. Имеет 2 ГБ оперативной памяти и 16 ГБ постоянной памяти. Также есть LTE модуль и с планшета можно совершать звонки в сотовой сети. Динамик один, качество звука терпимое."
"Планшет HUAWEI MediaPad T3 8 2/16GB LTE Gray","e0d7cc630438c400c536330cbbc05f1d","https://hotline.ua/ua/computer-planshety/huawei-mediapad-t3-8-lte-gray/","рекомендує цей товар","известный бренд, невысокая цена, нормальное качество, металлический корпус, может совершать и принимать звонки","слишком мало памяти","рік і більше","Недорогой 8 дюймовый планшет начального уровня от известного бренда. Имеет процессор Snapdragon 425, 2 ГБ оперативной памяти и 16 ГБ постоянной памяти и это слишком мало (приложения можно устанавливать только на внутреннюю память). Дисплей имеет IPS матрицу с HD разрешениеи и удовлетворительными углами обзора. Может совершать и принимать звонки. Динамик один, качество удовлетворрительное."
"Планшет HUAWEI MatePad T10s 3/64GB Wi-Fi Deepsea Blue (53011DTR)","d6651b77ef4624c719d286f62e32aa5f","https://hotline.ua/ua/computer-planshety/huawei-matepad-t10s-364gb-wi-fi-deepsea-blue-53011dtr/","рекомендує цей товар","Непогано як на таку ціну. Навіть здивував трохи","В моєму екземплярі є засвіти чорної заливки","кілька тижнів","Засвіти на чорному видно тільки при максимальній яркості та в повній темряві. У повсякденному використанні майже непомітно. Це так само, як з моніторами на іпс.
Відсутність Гугл сервісів взагалі великий плюс, а якщо потрібно щось чого нема в аппгелері, то є відомий форум з АПК файлами будь якої проги ;)
Здивувала батарея, я такого не очікував від 5100.
Куплявся для серфа перед сном, та серіальчики подивитись. Але вже довелось в ворді попрацювати, досить непогано крутить рабочі файли."
"Планшет HUAWEI MatePad T10s 3/64GB Wi-Fi Deepsea Blue (53011DTR)","d6651b77ef4624c719d286f62e32aa5f","https://hotline.ua/ua/computer-planshety/huawei-matepad-t10s-364gb-wi-fi-deepsea-blue-53011dtr/","рекомендує цей товар","Экран. Дизайн. Громкие стерео динамики известного брэнда. Автономность работы. Новая модель. Последний ведроид, с ежемесячными обновлениями. Отсутствие гугэл мусора! Отличный планшет до 6к. грн. Аналогов нет","Идеал","кілька місяців","Рекомендую к покупке для дома и семьи, для игр нужно подороже в районе от 10 к. грн."
"Планшет HUAWEI MatePad 11 Wi-Fi 6/128GB Matte Gray (53012FCW)","7e7511eceb63f42a721aa15f761ae0b6","https://hotline.ua/ua/computer-planshety/huawei-matepad-11-wi-fi-6128gb-matte-gray-53012fcw/","рекомендує цей товар","бистродействие, 120 гц екран, плавності роботи, приємний дизайн, наявність GPS, звук","відсутність SIM лотка, 3.5 jack, Google сервісів (опционально), батарея","кілька днів","Планшет впринципы чудовий, по співідношеню ціна і якість то взагалі супер, працює все чудово і плавно 120 гц відчувається і це супер, звук обалдений перший пленшит який бачу з таким звуком даже фільми з ним приємно дивитися, має вбудований GPS що його робить чудовим навігатором на 11 дюймах вулиці видно чудово, памяті хватає з головою, батарея тримає в середньому десь 6-7 год. Недостаків внього важливих я незнайшов да нема гугл сервісів, гнізда під наушники чи лотка під сім карту але це все легко вирішується"
"Планшет HUAWEI MatePad 10.4 LTE 3/32GB Grey","8af09b3d7e07fe48b8111268345f0abc","https://hotline.ua/ua/computer-planshety/huawei-matepad-104-lte-332gb-grey/","рекомендує цей товар","Скорость работы,.+звук,.+очень яркий и насыщенный дисплей,.+шустрый процессор,.+время автономной работы,.+очень тонкий дизайн,.+наличие LTE","Google сервисы","кілька місяців","На таком планшет смотреть фильмы одно удовольствие, звук приятный и сочный, в браузере все работает хорошо и шустро, камера в планшете есть и на том спасибо так как сейчас есть смартфоны которые больше заточены на фото камеру. Рекомендую к приобретению."
"Планшет HUAWEI MediaPad T3 10 32GB LTE Grey (53010NXY)","79d712ce5c72da0f976346fe2f509ab8","https://hotline.ua/ua/computer-planshety/huawei-mediapad-t3-10-32gb-lte-grey/","рекомендує цей товар","цена, качество","маломощный процессор","кілька місяців","Обновление 16 ГБ модели за счет расширения памяти до 32 ГБ.. Имеет LTE модуль. Поддерживает звонки и передачу данных в мобильной сети. Имеет нормального качества IPS дисплей. Неплохой бюджетный планшет, возможностей которого достаточно для серфинга в сети интернет.."
