"name","ID","link","recommend","liked","disliked","experience","comment"
"Планшет Xiaomi Redmi Pad SE 8/256GB Mint Green (VHU4588EU)","18b6918116c99e9968e6b75caffd9888","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-8256gb-mint-green/","рекомендує цей товар","Отличный экран и звук. Долби атмос. Мощный аккумулятор","Немає","кілька днів",""
"Планшет OPPO Pad Neo 6/128GB Wi-Fi Space Grey (OPD2302)","5b5d79344ee7541f27618bc3fdebdf2c","https://hotline.ua/ua/computer-planshety/oppo-pad-neo-114-wi-fi-6128gb-space-grey-opd2302/","рекомендує цей товар","Металевий корпус, яскравий екран","Поки не виявив","кілька місяців","Повністю задоволений роботою планшету, все швидко, у відео і фільмах гучно, під час роботи хороший екран, загалом для повсякденного використання дуже крутий варіант."
"Планшет Lenovo Idea Tab Pro with Matte Display 8/256GB WiFi Luna Grey + Pen (ZAE50114UA)","cc6e6fc31531cb47d7e1fcc48b531543","https://hotline.ua/ua/computer-planshety/lenovo-idea-tab-pro-with-matte-display-8256gb-wifi-luna-grey-plus-pen-zae50114ua/","рекомендує цей товар","Дисплей, звук, швидкодія, стилус, якість збірки, комплектація","кнопка на стилусі","кілька днів","Одразу зазначу що користувався ipad air 5 m1 + apple pencil 2 і samsung tab s9fe, тому є з чим порівнювати.
Купував для малювання. Були деякі побоювання стосовно планшету, через що дуже коливався в остаточному виборі.
З планшетом є повна комплектація! стилус + запасне перо, блок живлення на 45 вт, USb дріт, скріпка і інструкції.
Діставши планшет з упаковки був трохи збентежений розміром дисплею (на фотографії планшет лежить на 14 дюймовому ноуті) і були побоювання що він занадто великий. Вже в процесі налаштування відчув смак такого дисплею=)
Стосовно дисплею - він насичений і гарно передає кольори. 
Ще один безсумнівний плюс це матовий дисплей. Як на мене він більше збирає відбитки, але який же кайф коли під час користування відсутні відблиски і які класні відчуття під час використання стилусу. 
Стилус працює стабільно, не відвалюється. Рівні натиску працюють. Позиціонування точне. Так під час дуже повільного ведення стилусу по діагоналі присутні коливання, але в реальному використання це майже не відчувається. Також відсутні точки на початку лінії при малому натиску - це плюс, який мене трохи здивував. Порівнюючи попередній досвід можу сміливо сказати, що планшет дуже класно справляється з малюванням.
Із мінусів це кнопка на стилусі, яка може виконувати тільки ті функції які були закладені виробником. Виправте цей недолік і це буде топ рішення за свої гроші. 
За допомогою фірмового софту можна налаштувати цікаву синхронізацію з пк, дуже сподобався варіант другого дисплею, чи використання додатків на ноуті - такий собі шаринг. 

Звук - бомба, фільми дивитись одне задоволення. 
Хоч планшет купувався для зовсім інших цілей, але для тесту завантажив пабг, код і геншин - все йде, планшет навіть не нагрівається.

Автономність - витримує цілий день постійного використання. З комплектним блоком живлення заряджається швидко із всіма іншими блоками товаришує погано.
Як на мене планшет з легкістю замінить робочий пристрій."
"Планшет Sigma mobile TAB A1033 X-treme 6/128GB Black-Orange","a7e5e229a80a7afa5d32833c55e82643","https://hotline.ua/ua/computer-planshety/sigma-mobile-tab-a1033-x-treme-6128gb-black-orange/","рекомендує цей товар","Якість виконання корпусу (зручно тримати, закрити порти та слоти, міцний, а не візуально захищенний як ноунейм кітайці).- Якість екрану (яскравість, кольора, контраст).- Загальна швидкість роботи.- Автономність.- Вартість.- наявність 4G","Основна камера.- В деяких випадках сенсор екрану не достатньо чутливий.- не топова версія андроїду","кілька тижнів","Дуже достойний планшет як для українського виробника (хоч все рівно мейд ін чайна).
Брали для дітей (саме для навчання - zoom, моб додатки школ і т.п.).
Екран якісний, але іноді треба трішки сильніше натискати ніж прост ледь доторкнутись (можливо це через те, що цей планшет має додатковий захист від падінь), але в цілому це дрібниця, швидко звикаеш, не банкомат де треба вдавлювати пальца :).
В порівнянні з конкурентами виглядає достойно. З недолікив дуже простенька основна камера (селфі +\- ок як для такого цін. сегменту), андроїд 13 (коли у конкурентів 14).
Для дітей - саме те, батарею тримає довго, витримує легкі падіння (більше метра ще не літав), не тупить, усі потрібні моб додатки працюють швидко."
"Планшет Apple iPad Air 11 2024 Wi-Fi 128GB Blue (MUWD3)","8a44d85600864bfb2d54f7cbb60576de","https://hotline.ua/ua/computer-planshety/apple-ipad-air-11-2024-wi-fi-128gb-blue-muwd3/","рекомендує цей товар","Якість, ціна, сервіс","","кілька тижнів",""
"Планшет Lenovo Yoga Tab Plus 16/256GB WiFi Tidal Teal + Pen (ZAEG0103UA)","3b9ad34a34055823a7b5cc286dfc74c9","https://hotline.ua/ua/computer-planshety/lenovo-yoga-tab-plus-16256gb-tidal-teal-plus-pen-zaeg0103ua/","рекомендує цей товар","Дизайн, електронне перо, 144 Гц частота оновлення, якісні матеріали виготовлення, комплектація","Зависока ціна, немає слоту для карти пам'яті","кілька днів","Це гарний варіант у якості мультимедійного пристрою із непоганою комплектацією. Правда коштує такий девайс доволі дорого та й пам'ять розширити тут не вдасться нажаль"
"Планшет Samsung Galaxy Tab A9+ 8/128GB Wi-Fi Graphite (SM-X210NZAE)","945be8907d007972e90e9b323cbffa84","https://hotline.ua/ua/computer-planshety/samsung-galaxy-tab-a9plus-wi-fi-8128gb-graphite-sm-x210nzae/","рекомендує цей товар","надійний виробник","не завадила б більша батарея","кілька місяців","Брали для навчання, але його час ще не настав, тому використовується для ігор, відео та різного роду навчальних застосунків. Враховуючи, що це перший планшет, то враження здебільшого приємні, малий задоволений, та й мені для серфінгу в неті достатньо з головою. Хоча після 120 Гц екрану на телефоні місцями сіпається око разом з картинкою екрану ^_^ Що до часу роботи, то очікував більшого.. зараз майже завжди двічі на день буває на зарядці, але тут уточню, що намагаємось не розряджати нижче 30%, та не заряджати на 100 (особливо на ніч, лише до 80-85%)"
"Планшет OnePlus Pad Go 8/128GB LTE Twin Mint","514811be0fa88850cd36fb830b4c1369","https://hotline.ua/ua/computer-planshety/oneplus-pad-go-8128gb-lte-twin-mint/","рекомендує цей товар","Бюджетний планшет з дизайном і виконанням як топ планшети..Процесор для пошуку в інтернеті і соц.мереж нормальний. Зависань чи якихось лагів не було за 3-ри місяці використання. Напочатку січня обновився, пакети безпеки, виправлення приходили вже два рази. Батарея дивна коли заряджав блоком від 33 w заряджало всерівно повільно. Сідав швидко за 6-7годин, а потім чи розкачав батарею чи ще щось, почав сідати повільніше на +1.5  години. По автономності кращий ніж Samsung a9+ (хоть і говорять що снап краще медіатека по автономності і використанню енергії) Камера передня для Зума і інших відео нормальна при адекватному освітленні","Корпус царапається. Раджу подбати про чохли заздалегідь","кілька місяців","Планшет обирав по виробнику і дизайну. І якості батареї. На техніці Китайських виробників батареї не відповідають заявленим характеристикам і номіналом. А на девайсах OnePlus (і його родичах з bbk такого не зустрічав) Батарею прокачував оригінальним блоком живлення (в комплекті у версії EU не йде тільки кабель)"
"Планшет Blackview Oscal Pad 10 8/128GB 4G Dual Sim Diamong Grey (6931548310969)","38b23ee8dedb8b354f21a9495a4e51b3","https://hotline.ua/ua/computer-planshety/blackview-oscal-pad-10-8128gb-diamong-grey/","рекомендує цей товар","Комплектація, ""чистий"" андроїд, доступна ціна, яскравий дисплей","Камери, час роботи","кілька тижнів","Бюджетний планшет для різноманітних але простих задач, запускати серйозні ігри тут не вийде точно"
"Планшет Samsung Galaxy Tab S9+ 12/256GB Wi-Fi Graphite (SM-X810NZAA)","4f636a85ad2b3f1ad58e980ce12de1c3","https://hotline.ua/ua/computer-planshety/samsung-galaxy-tab-s9plus-12256gb-wi-fi-graphite-sm-x810nzaa/","рекомендує цей товар","Якість, відомий бренд, комплектація","Слабкий акумулятор, камери низького рівня","кілька тижнів","Непоганий планшет від південокорейського виробника, який цілком виправдовує свою ціну, навіть не дивлячись на слабкий АКБ та камери рівня ""аби було"""
